stage,text,ipa,sound,target
1,first,/fɜːrst/,f,
1,third,/θɜːrd/,th,
1,free,/friː/,f,
1,three,/θriː/,th,
1,fin,/fɪn/,f,
1,thin,/θɪn/,th,
1,fought,/fɔːt/,f,
1,thought,/θɔːt/,th,
2,first,/fɜːrst/,f,
2,third,/θɜːrd/,th,
2,free,/friː/,f,
2,three,/θriː/,th,
2,fin,/fɪn/,f,
2,thin,/θɪn/,th,
2,fought,/fɔːt/,f,
2,thought,/θɔːt/,th,
2,four,/fɔːr/,f,
2,thaw,/θɔː/,th,
2,fred,/fred/,f,
2,thread,/θred/,th,
2,first,/fɜːrst/,f,
2,thirst,/θɜːrst/,th,
3,I was the first person to arrive.,,f,first
3,He is the third child in his family.,,th,third
3,The water is free at this restaurant.,,f,free
3,I have three cats at home.,,th,three
3,The shark has a sharp fin.,,f,fin
3,The paper is very thin.,,th,thin
3,They fought bravely in the battle.,,f,fought
3,I thought about you yesterday.,,th,thought
3,The table has four legs.,,f,four
3,The ice will thaw in the sun.,,th,thaw
3,My friend Fred is coming over.,,f,fred
3,I need a needle and thread.,,th,thread
3,She felt a strong thirst after running.,,th,thirst
