stage,text,ipa,sound,target
1,fry,/fraɪ/,fr,
1,fire,/faɪər/,f,
1,free,/friː/,fr,
1,fee,/fiː/,f,
1,fresh,/freʃ/,fr,
1,flesh,/fleʃ/,f,
1,frame,/freɪm/,fr,
1,fame,/feɪm/,f,
2,fry,/fraɪ/,fr,
2,fire,/faɪər/,f,
2,free,/friː/,fr,
2,fee,/fiː/,f,
2,fresh,/freʃ/,fr,
2,flesh,/fleʃ/,f,
2,frame,/freɪm/,fr,
2,fame,/feɪm/,f,
2,fright,/fraɪt/,fr,
2,fight,/faɪt/,f,
2,from,/frʌm/,fr,
2,fun,/fʌn/,f,
2,fruit,/fruːt/,fr,
2,foot,/fʊt/,f,
3,I like to fry eggs for breakfast.,,fr,fry
3,The fire is very warm tonight.,,f,fire
3,The water is free at this restaurant.,,fr,free
3,The entrance fee is ten dollars.,,f,fee
3,I bought fresh bread from the bakery.,,fr,fresh
3,The cut is not deep — just flesh.,,f,flesh
3,She put the photo in a nice frame.,,fr,frame
3,He dreamed of money and fame.,,f,fame
3,She felt a sudden fright in the dark.,,fr,fright
3,He got into a fight at school.,,f,fight
3,I come from a small town.,,fr,from
3,We had a lot of fun at the party.,,f,fun
3,Apples are my favorite fruit.,,fr,fruit
3,My left foot is a little sore.,,f,foot
3,I feel free when I ride my bike.,,fr,free
3,The coffee has no extra fee.,,f,fee
