stage,text,ipa,sound,target
1,full,/fʊl/,u,
1,fool,/fuːl/,oo,
1,pull,/pʊl/,u,
1,pool,/puːl/,oo,
1,could,/kʊd/,u,
1,cooed,/kuːd/,oo,
2,look,/lʊk/,u,
2,Luke,/luːk/,oo,
2,wood,/wʊd/,u,
2,wooed,/wuːd/,oo,
2,stood,/stʊd/,u,
2,stewed,/stuːd/,oo,
2,nook,/nʊk/,u,
2,nuke,/nuːk/,oo,
3,My glass is full of water.,,u,full
3,Only a fool would leave the door open.,,oo,fool
3,Please pull the door closed behind you.,,u,pull
3,The children jumped into the pool.,,oo,pool
3,I could not find my keys this morning.,,u,could
3,Look at the bright moon tonight.,,u,look
3,Luke sits next to me in class.,,oo,Luke
3,The chair is made of wood.,,u,wood
3,We stood in line for the bus.,,u,stood
3,I bought new boots for the winter.,,oo,boots
